# Benchmark data for RGB fast median filter based
# on Huang's histogram algorithm created with `perf stat`
# 
# image: fruits.jpg (512x480)
# 
# radius  seconds
1         0.355105827
2         0.362690454
3         0.415963593
4         0.425419041
5         0.450453452
6         0.484862294
7         0.506187965
8         0.556621358
9         0.571447320
10        0.612523994
11        0.608354302
12        0.637983654
13        0.689073164
14        0.713140692
15        0.738480114
16        0.738208627
17        0.763790314
18        0.790361512
19        0.803072010
20        0.834452870
21        0.853543062
22        0.863721562
23        0.908780082
24        0.899591819
25        0.929781857
26        0.942601476
27        0.977567652
28        0.978067603
29        1.038961488
30        1.047099841
