# Benchmark data for RGB fast median filter based
# on Huang's histogram algorithm created with `perf stat`
# 
# image: green-eye1.jpg (1920x1200)
# 
# radius  seconds
1         4.025832501
2         4.321064772
3         4.476461561
4         4.920704279
5         5.235425396
6         5.490658561
7         5.675522168
8         5.938144707
9         6.097079656
10        6.410454735
11        6.748905181
12        6.902378598
13        7.324509343
14        7.668579274
15        8.094444852
16        8.073193883
17        9.023162552
18        9.288188135
19        9.213075683
20        9.113503140
21        9.367793112
22        9.899918340
23        10.070927673
24        10.528224061
25        11.054388364
26        11.020650053
27        11.663685188
28        11.698579902
29        11.963906808
30        12.032974078
